text
4562 860 213 9638 7 1795 34 3
11169 860 183 21587 87 2341 40 50
18174 860 88 3787 86 1376 8 83
17795 169 95 15384 5 1795 16 50
16319 860 183 20751 79 1469 26 50
11225 443 218 17178 79 2212 16 50
14566 165 87 18250 87 274 40 81
11609 860 244 14995 79 1469 16 50
1956 860 185 1928 49 2212 40 50
17850 860 105 23073 110 274 31 50
5383 240 213 22467 25 1795 43 29
13945 860 106 23492 5 2173 30 50
19968 860 185 21381 69 1254 31 15
21111 997 56 24217 79 528 16 49
9455 278 182 19169 68 1376 34 3
18125 860 185 7055 34 1316 8 52
389 860 204 12610 4 1795 0 50
9732 860 185 4117 79 96 30 97
9506 860 93 2613 79 1469 16 50
8886 20 204 22280 88 628 12 53
2458 202 94 20640 87 896 40 50
2548 860 183 18526 87 1254 40 50
12887 165 183 12103 83 1469 26 76
2088 860 225 8020 79 274 18 50
12442 860 212 3937 79 274 16 50
11232 169 202 1115 79 689 16 6
18562 860 229 1084 87 249 40 36
16140 860 212 2603 79 689 16 50
9419 860 213 21886 5 1425 24 50
7472 860 234 8435 80 1469 16 50
18376 860 225 8586 79 1469 16 50
17157 860 185 6476 79 2132 16 50
15070 860 183 434 57 1795 39 29
512 860 181 19523 4 1795 0 87
17761 860 93 10453 110 1689 31 50
20156 860 158 16034 100 274 15 50
17272 860 114 71 79 1795 24 50
20603 859 52 24612 79 54 16 49
13277 860 93 20944 49 2132 40 50
7150 23 104 19561 110 1448 31 15
12420 860 203 15284 87 1795 40 92
15323 860 113 3515 93 1269 40 55
11076 860 213 10158 79 1795 18 50
18292 860 182 20490 79 2132 16 50
1261 860 219 12586 110 1376 31 31
814 860 183 17305 79 274 16 50
8365 168 104 18222 110 96 31 15
20103 860 183 17599 79 652 23 50
5535 860 237 293 15 752 31 15
4509 317 205 1447 23 509 32 62
10082 85 221 15785 87 1795 40 13
2128 860 105 10833 79 274 16 55
11702 860 183 16810 5 1795 18 50
6272 860 104 14261 44 1376 13 52
3381 860 213 6613 79 274 16 94
6837 860 229 14009 93 896 40 81
3267 860 183 6106 45 274 4 37
7730 256 105 22453 110 767 31 15
14414 860 218 9396 87 1376 40 83
6521 860 91 5521 44 1469 13 50
10010 860 212 22117 26 1140 40 55
1043 860 102 18370 13 2132 2 15
20173 860 201 5814 79 1376 25 83
11542 860 222 18349 79 274 16 50
16919 860 211 9906 79 2132 16 92
16265 860 105 9702 79 274 20 50
996 860 205 11080 79 689 16 50
11012 71 95 20142 110 166 31 15
14280 860 182 7628 41 510 14 98
4338 860 229 3558 34 1689 8 72
863 860 103 18937 79 274 16 50
17859 860 210 15404 83 1376 30 50
12364 860 204 934 34 1469 8 83
2495 860 184 11711 87 1689 40 97
