text
72 12 3
30 0 2
44 7 3
22 2 0
63 10 2
17 3 2
46 0 3
38 7 2
88 0 0
53 6 2
82 13 3
11 0 2
59 5 0
92 0 2
57 1 3
8 9 3
69 12 2
51 0 3
29 0 2
68 15 3
32 7 2
65 0 0
40 14 3
3 4 2
85 8 0
13 3 2
0 0 3
61 5 0
74 12 2
9 0 3
78 0 2
34 7 3
19 6 2
25 13 3
10 0 2
94 0 0
56 11 3
6 9 2
71 12 3
23 2 0
47 0 2
45 5 0
64 0 2
37 14 3
18 3 2
2 0 3
60 5 0
90 0 2
80 0 0
42 7 3
52 6 2
27 13 3
12 0 2
93 0 0
62 11 3
86 9 2
70 12 0
49 0 3
31 5 2
77 15 3
36 7 2
66 0 0
41 14 3
5 4 2
83 8 0
14 3 2
1 0 3
59 5 0
76 12 2
89 0 3
78 0 2
34 7 3
21 6 2
25 13 3
10 0 2
95 0 0
56 11 3
6 9 2
71 12 3
23 2 0
47 0 2
45 5 0
64 0 2
37 14 3
18 3 2
2 0 3
60 5 0
90 0 2
80 0 0
42 7 3
52 6 2
27 13 3
12 0 2
93 0 0
62 11 3
86 9 2
70 12 0
49 0 3
31 5 2
77 15 3
36 7 2
66 0 0
41 14 3
5 4 2
83 8 0
14 3 2
1 0 3
59 5 0
76 12 2
89 0 3
78 0 2
34 7 3
21 6 2
25 13 3
10 0 2
95 0 0
56 11 3
6 9 2
71 12 3
23 2 0
47 0 2
45 5 0
64 0 2
37 14 3
18 3 2
2 0 3
60 5 0
90 0 2
80 0 0
42 7 3
52 6 2
27 13 3
12 0 2
93 0 0
62 11 3
86 9 2
70 12 0
49 0 3
31 5 2
77 15 3
36 7 2
66 0 0
41 14 3
5 4 2
83 8 0
14 3 2
1 0 3
59 5 0
76 12 2
89 0 3
78 0 2
34 7 3
21 6 2
25 13 3
10 0 2
95 0 0
56 11 3
6 9 2
71 12 3
23 2 0
47 0 2
45 5 0
64 0 2
37 14 3
18 3 2
2 0 3
60 5 0
90 0 2
80 0 0
42 7 3
52 6 2
27 13 3
12 0 2
93 0 0
62 11 3
86 9 2
70 12 0
49 0 3
31 5 2
77 15 3
36 7 2
66 0 0
41 14 3
5 4 2
83 8 0
14 3 2
1 0 3
59 5 0
76 12 2
89 0 3
78 0 2
34 7 3
21 6 2
25 13 3
10 0 2
95 0 0
56 11 3
6 9 2
71 12 3
23 2 0
47 0 2
45 5 0
64 0 2
37 14 3
18 3 2
2 0 3
60 5 0
90 0 2
80 0 0
42 7 3
52 6 2
27 13 3
12 0 2
93 0 0
62 11 3
86 9 2
70 12 0
49 0 3
